706 ppm 	 TVOC = 0 ppb 
709 ppm 	 TVOC = 0 ppb 
745 ppm 	 TVOC = 0 ppb 
737 ppm 	 TVOC = 0 ppb 
762 ppm 	 TVOC = 0 ppb 
715 ppm 	 TVOC = 0 ppb 
667 ppm 	 TVOC = 0 ppb 
640 ppm 	 TVOC = 0 ppb 
624 ppm 	 TVOC = 0 ppb 
629 ppm 	 TVOC = 0 ppb 
648 ppm 	 TVOC = 0 ppb 
633 ppm 	 TVOC = 0 ppb 
624 ppm 	 TVOC = 0 ppb 
624 ppm 	 TVOC = 0 ppb 
609 ppm 	 TVOC = 0 ppb 
613 ppm 	 TVOC = 0 ppb 
615 ppm 	 TVOC = 0 ppb 
605 ppm 	 TVOC = 0 ppb 
614 ppm 	 TVOC = 0 ppb 
611 ppm 	 TVOC = 0 ppb 
617 ppm 	 TVOC = 0 ppb 
612 ppm 	 TVOC = 0 ppb 
600 ppm 	 TVOC = 0 ppb 
605 ppm 	 TVOC = 0 ppb 
578 ppm 	 TVOC = 0 ppb 
590 ppm 	 TVOC = 0 ppb 
589 ppm 	 TVOC = 0 ppb 
591 ppm 	 TVOC = 0 ppb 
597 ppm 	 TVOC = 0 ppb 
591 ppm 	 TVOC = 0 ppb 
586 ppm 	 TVOC = 0 ppb 
570 ppm 	 TVOC = 0 ppb 
564 ppm 	 TVOC = 0 ppb 
547 ppm 	 TVOC = 0 ppb 
555 ppm 	 TVOC = 0 ppb 
564 ppm 	 TVOC = 0 ppb 
573 ppm 	 TVOC = 0 ppb 
579 ppm 	 TVOC = 0 ppb 
599 ppm 	 TVOC = 0 ppb 
592 ppm 	 TVOC = 0 ppb 
9773 ppm 	 TVOC = 304 ppb 
47208 ppm 	 TVOC = 1752 ppb 
60000 ppm 	 TVOC = 2825 ppb 
16175 ppm 	 TVOC = 1597 ppb 
4254 ppm 	 TVOC = 691 ppb 
1242 ppm 	 TVOC = 509 ppb 
611 ppm 	 TVOC = 376 ppb 
400 ppm 	 TVOC = 270 ppb 
400 ppm 	 TVOC = 184 ppb 
400 ppm 	 TVOC = 131 ppb 
461 ppm 	 TVOC = 88 ppb 
483 ppm 	 TVOC = 40 ppb 
533 ppm 	 TVOC = 15 ppb 
554 ppm 	 TVOC = 0 ppb 
536 ppm 	 TVOC = 0 ppb 
524 ppm 	 TVOC = 0 ppb 
541 ppm 	 TVOC = 0 ppb 
545 ppm 	 TVOC = 0 ppb 
547 ppm 	 TVOC = 0 ppb 
549 ppm 	 TVOC = 0 ppb 
529 ppm 	 TVOC = 0 ppb 
547 ppm 	 TVOC = 0 ppb 
541 ppm 	 TVOC = 0 ppb 
542 ppm 	 TVOC = 0 ppb 
543 ppm 	 TVOC = 0 ppb 
529 ppm 	 TVOC = 0 ppb 
546 ppm 	 TVOC = 0 ppb 
572 ppm 	 TVOC = 0 ppb 
571 ppm 	 TVOC = 0 ppb 
598 ppm 	 TVOC = 0 ppb 
625 ppm 	 TVOC = 0 ppb 
634 ppm 	 TVOC = 0 ppb 
640 ppm 	 TVOC = 0 ppb 
645 ppm 	 TVOC = 0 ppb 
606 ppm 	 TVOC = 0 ppb 
575 ppm 	 TVOC = 0 ppb 
559 ppm 	 TVOC = 0 ppb 
556 ppm 	 TVOC = 0 ppb 
549 ppm 	 TVOC = 0 ppb 
544 ppm 	 TVOC = 0 ppb 
541 ppm 	 TVOC = 0 ppb 
600 ppm 	 TVOC = 0 ppb 
635 ppm 	 TVOC = 0 ppb 
673 ppm 	 TVOC = 0 ppb 
660 ppm 	 TVOC = 0 ppb 
646 ppm 	 TVOC = 0 ppb 
612 ppm 	 TVOC = 0 ppb 
610 ppm 	 TVOC = 0 ppb 
1027 ppm 	 TVOC = 0 ppb 
1361 ppm 	 TVOC = 0 ppb 
1555 ppm 	 TVOC = 14 ppb 
1296 ppm 	 TVOC = 14 ppb 
977 ppm 	 TVOC = 0 ppb 
927 ppm 	 TVOC = 0 ppb 
886 ppm 	 TVOC = 0 ppb 
792 ppm 	 TVOC = 0 ppb 
703 ppm 	 TVOC = 0 ppb 
648 ppm 	 TVOC = 0 ppb 
598 ppm 	 TVOC = 0 ppb 
570 ppm 	 TVOC = 0 ppb 
543 ppm 	 TVOC = 0 ppb 
538 ppm 	 TVOC = 0 ppb 
528 ppm 	 TVOC = 0 ppb 
531 ppm 	 TVOC = 0 ppb 
532 ppm 	 TVOC = 0 ppb 
525 ppm 	 TVOC = 0 ppb 
513 ppm 	 TVOC = 0 ppb 
527 ppm 	 TVOC = 0 ppb 
515 ppm 	 TVOC = 0 ppb 
560 ppm 	 TVOC = 0 ppb 
587 ppm 	 TVOC = 0 ppb 
585 ppm 	 TVOC = 0 ppb 
571 ppm 	 TVOC = 0 ppb 
541 ppm 	 TVOC = 0 ppb 
542 ppm 	 TVOC = 0 ppb 
531 ppm 	 TVOC = 0 ppb 
